file_name,file_path,label,treatment,zcr,rms,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
DMJD_oficina_03.wav,./processed_dataset\train\DMJD_oficina_03.wav,oficina,train,0.2727819683908046,0.05310989,-342.94092,42.084106,8.509683,-14.700109,-6.4061995,-16.14879,-13.933724,-8.560311,-1.8271153,0.65728587,1.9252924,-0.89990836,-3.7349045
DMJD_pasos_01.wav,./processed_dataset\train\DMJD_pasos_01.wav,pasos,train,0.3007610452586207,0.00757661,-569.26324,24.89023,5.04702,9.935019,9.389398,4.18055,2.8261843,1.0998836,3.0436456,3.4323378,1.1125281,1.4386456,1.6476253
DMJD_pasos_02.wav,./processed_dataset\train\DMJD_pasos_02.wav,pasos,train,0.21233836206896553,0.01614551,-478.32837,53.28179,11.933537,11.724471,1.3046075,5.1617913,2.0843565,-0.074108884,-1.7140527,0.3041074,-3.5056126,-2.189616,-0.55845183
DMJD_pasos_03.wav,./processed_dataset\train\DMJD_pasos_03.wav,pasos,train,0.1780419360632184,0.015629282,-500.09958,66.363594,14.970399,3.5986452,-0.07750861,-5.239436,-1.8773931,-3.9901857,-0.9614464,-2.2763882,-6.0386844,-3.2034903,-7.044856
DMJD_sala_01.wav,./processed_dataset\train\DMJD_sala_01.wav,sala,train,0.21871969288793103,0.04114746,-426.29895,41.61049,-29.730011,12.244548,-8.891796,2.8227127,-5.2951217,-2.2029476,9.529663,3.2145593,1.9752904,-2.3073208,-2.8297548
DMJD_sala_02.wav,./processed_dataset\train\DMJD_sala_02.wav,sala,train,0.2007464529454023,0.043706447,-421.16898,36.96223,-21.805983,13.870066,-8.517749,2.277961,-6.2362967,-9.488819,-1.3626336,-3.4439378,-0.7105295,-1.8311627,-3.9140573
DMJD_sala_03.wav,./processed_dataset\train\DMJD_sala_03.wav,sala,train,0.24390827047413793,0.047965858,-386.0043,43.517002,-20.045267,10.755667,-17.637291,5.7482414,-0.998064,-5.562021,-0.16522764,-4.095767,1.5502732,-2.7426732,-1.7685086
ENH_bano_01.wav,./processed_dataset\train\ENH_bano_01.wav,bano,train,0.18154944392760486,0.00990173,-541.9907,14.643634,-10.556056,4.003554,-3.352461,3.9363883,0.1074853,1.6563884,-2.3376017,0.075970516,-3.2102225,-2.463177,-0.93825835
ENH_bano_02.wav,./processed_dataset\train\ENH_bano_02.wav,bano,train,0.24128744239631336,0.016592083,-455.79926,21.111565,-19.429409,3.256974,-3.7782784,4.4399366,3.7635763,1.5146878,-1.7649925,-1.9013178,-2.2481565,1.2968659,-0.39888698
ENH_bano_03.wav,./processed_dataset\train\ENH_bano_03.wav,bano,train,0.2427040382667824,0.02465836,-461.5935,15.183559,-13.925445,3.3455672,-6.915722,4.581284,0.17443565,1.970906,-1.3082261,2.3146152,-3.5271683,-2.7567189,-0.6892489
