student_id,sample_number,sensor_name,timestamp,is_exito,acc_x_filtered,acc_y_filtered,acc_z_filtered,gyro_x_filtered,gyro_y_filtered,gyro_z_filtered,quat_w,quat_x,quat_y,quat_z
Edgar,1,Antebrazo,0.41,0,0.4578340503031182,-2.5703301960063,-2.3784187920204034,151.5149843322619,-234.1987569076165,149.3504195659913,0.65002489,-0.64683044,-0.39246708,-0.07104647
Edgar,1,Antebrazo,0.42,0,0.2526189821567929,-2.9144773710807317,-2.434272078900316,177.8476167022738,-284.904093019684,132.35651615927958,0.60470986,-0.67577082,-0.41344103,-0.08201393
Edgar,1,Antebrazo,0.43,0,0.021968640260551786,-3.22626045055574,-2.3649771024846578,207.9520696837885,-329.2060870397311,97.20383287527547,0.58151108,-0.69936842,-0.40799221,-0.07919019
Edgar,1,Antebrazo,0.44,0,-0.21750832739791814,-3.4633421902256933,-2.161602519110893,229.87795234712613,-348.7207366041082,40.89187436924615,0.55657828,-0.7248677,-0.39959612,-0.07148711
Edgar,1,Antebrazo,0.45,0,-0.45399541137501426,-3.5565138724436975,-1.867670011076864,233.6215863272363,-327.9437127679039,-34.270018623404845,0.53252947,-0.74957967,-0.38856244,-0.05968309
Edgar,1,Antebrazo,0.46,0,-0.6422643786070993,-3.4938542857344377,-1.571525777770122,214.628327898598,-265.1725947765314,-119.94543747870088,0.51648116,-0.76850408,-0.37538189,-0.04167981
Edgar,1,Antebrazo,0.47,0,-0.6721028941229495,-3.3677894689189514,-1.367183863825001,172.0610550631465,-176.2035463853251,-205.14924534493616,0.47865328,-0.7848407,-0.39260438,-0.02789543
Edgar,1,Antebrazo,0.48,0,-0.3884967455409222,-3.2835274141130464,-1.3085422705879532,104.70627612084104,-85.37950666312204,-281.5439524550946,0.48392335,-0.7870242,-0.38262326,-0.00324622
Edgar,1,Antebrazo,0.49,0,0.32222848347975147,-3.172969512873762,-1.3916996901164453,11.624400330727774,-9.137720573562646,-345.0632545151232,0.49687621,-0.78271699,-0.37418371,0.02132989
Edgar,1,Antebrazo,0.5,0,1.4167463580660589,-2.711708695619584,-1.5764692816796644,-99.24146588584273,54.955605960826965,-391.26695414639914,0.51638466,-0.77304274,-0.36584964,0.04365597
Edgar,1,Antebrazo,0.51,0,2.618118610670365,-1.5024878178862757,-1.816164724622698,-201.85944540789825,123.80366775003141,-409.7381967870684,0.54098183,-0.76084346,-0.35277122,0.06331196
Edgar,1,Antebrazo,0.52,0,3.4437098743727637,0.5531268535460145,-2.0455362780460837,-256.2013613588335,211.93151204349462,-386.4814090242285,0.62044287,-0.72241706,-0.23878025,0.19012699
Edgar,1,Antebrazo,0.53,0,3.372982661105152,3.0092012071673393,-2.1197003275131454,-231.37027959537164,316.60968038623434,-316.1244006698517,0.65362638,-0.6877923,-0.2376212,0.20796777
Edgar,1,Antebrazo,0.54,0,2.1323923647561283,5.038270938821103,-1.7898430710242867,-133.25716027364896,417.5325701630975,-213.3005307203648,0.68172002,-0.64803958,-0.25866085,0.21999371
Edgar,1,Antebrazo,0.55,0,-0.029703465587649774,5.940443557176057,-0.8361736310075611,-9.560888389428378,488.62354773083445,-108.95706678613875,0.68277925,-0.6230008,-0.29331443,0.24423191
Edgar,1,Antebrazo,0.56,0,-2.3130852832145115,5.584640806196605,0.6669289731718218,80.07064095006315,507.8927811490888,-29.76000470595247,0.66953659,-0.61254728,-0.32435149,0.26702559
Edgar,1,Antebrazo,0.57,0,-3.753693309270062,4.411932914574246,2.2098811143263366,106.57352015475365,458.6340856014931,23.040835043586764,0.64815927,-0.26123571,-0.67890149,-0.22525142
Edgar,1,Antebrazo,0.58,0,-3.8568800863650194,3.058918208131859,3.077469258532543,88.1280448802731,332.3575990925151,74.27910089709475,0.65665966,-0.22133675,-0.68570471,-0.22274905
Edgar,1,Antebrazo,0.59,0,-2.9578626985340497,1.9745715819766614,2.837072360738179,66.98908377546469,143.58174850586684,150.96591383377532,0.65701175,-0.19768369,-0.69408602,-0.21794799
Edgar,1,Antebrazo,0.6,0,-1.9404199198109375,1.2856387140462615,1.6659730728910596,71.32423596315572,-55.70561110392471,253.72244452336534,0.63646007,-0.21000339,-0.71010387,-0.21580034
Edgar,1,Antebrazo,0.61,0,-1.547385016008377,0.8808953018429242,0.2351028523356891,96.63062900541999,-186.75768522007397,349.581186228415,0.60356665,-0.22900994,-0.73202056,-0.21773326
Edgar,1,Antebrazo,0.62,0,-1.889563919292241,0.5820868852475658,-0.7317967268907438,117.21255967459517,-184.5057138944324,392.63319703567595,0.40070817,-0.82296365,-0.03126746,0.40147996
Edgar,1,Antebrazo,0.63,0,-2.49743909937733,0.2976483276452398,-0.8815665438414708,111.44861110148165,-40.66350037181419,354.7235853235075,0.38738838,-0.84053832,-0.0324695,0.37732127
Edgar,1,Antebrazo,0.64,0,-2.751910468752388,0.06852823039850325,-0.3754957836561223,78.49521491554451,184.3531084544712,243.44401724731608,0.3833192,-0.84888822,-0.05621761,0.35957593
Edgar,1,Antebrazo,0.65,0,-2.3132056181021663,-0.023415965232761057,0.2919350919162789,36.072136987153804,391.192828221299,98.01305506951591,0.38794652,-0.84457809,-0.09531336,0.35651207
Edgar,1,Antebrazo,0.66,0,-1.2873757918256916,0.017626154697352986,0.6456084325930863,4.995839402016543,493.4208347905069,-31.495605617523882,0.39591596,-0.83088577,-0.13731989,0.3660911
Edgar,1,Antebrazo,0.67,0,-0.09298917472795548,0.08154127383875846,0.5080362312120364,-5.40818253844901,458.44657534691333,-108.47796873727992,0.60710377,-0.47512987,-0.62809932,0.10567831
Edgar,1,Antebrazo,0.68,0,0.8282538428489896,0.05598130177571206,0.03253531943868967,-0.3847632167790294,314.8240588593042,-124.17815274318475,0.61301893,-0.45138675,-0.63854527,0.11277264
Edgar,1,Antebrazo,0.69,0,1.2436378944782993,-0.06890421234547409,-0.48426557067931997,8.372734821071548,127.06082823291379,-95.5700332032628,0.61647308,-0.44375792,-0.63963586,0.11792311
Edgar,1,Antebrazo,0.7,0,1.176331777593881,-0.20612010040448175,-0.8299473242303784,13.201367745426923,-41.54120326401109,-51.216533354670396,0.6195057,-0.44613507,-0.63444149,0.12107982
Edgar,1,Antebrazo,0.71,0,0.8046102194767952,-0.27015925106490163,-0.973691976594844,14.702214784508756,-154.6456283789116,-15.840030282268412,0.62078798,-0.45540926,-0.6265288,0.12118771
Edgar,1,Antebrazo,0.72,0,0.3392229889327965,-0.26054896338968336,-1.0062105728679762,18.107928229372973,-206.47855273073742,-1.4580710500774507,0.655644,-0.51203001,-0.54469949,0.10610722
Edgar,1,Antebrazo,0.73,0,-0.04284329185941914,-0.256000500153901,-1.0212939343338303,26.73446113473663,-209.21990638001247,-6.42910457439874,0.65258604,-0.52606785,-0.53500158,0.10562921
Edgar,1,Antebrazo,0.74,0,-0.2209684678622952,-0.3381728743599721,-1.047087858915529,38.45156539323038,-178.4968503745088,-20.235030093777002,0.65041661,-0.53932899,-0.52394426,0.10754059
Edgar,1,Antebrazo,0.75,0,-0.14906803592184975,-0.5175294299005733,-1.0560507405227233,47.266860534865444,-127.02703493260371,-31.14244998956193,0.64922172,-0.5486359,-0.51487666,0.11140858
Edgar,1,Antebrazo,0.76,0,0.13075747795916337,-0.7188572891549799,-1.0109150503411546,47.89324616566341,-66.10701061959016,-33.108695258674324,0.64807302,-0.55342078,-0.51017278,0.11597712
Edgar,1,Antebrazo,0.77,0,0.5075500187805848,-0.8346893214492752,-0.8968739702898622,39.65888972660264,-8.265666097106344,-28.08233183952972,0.64685607,-0.55862617,-0.50570738,0.11736365
Edgar,1,Antebrazo,0.78,0,0.8572958176300598,-0.8063166280191083,-0.727166196880592,27.209679012054856,33.927403968187406,-22.542574385941634,0.646514,-0.556153,-0.50821686,0.12012158
Edgar,1,Antebrazo,0.79,0,1.0988255218226777,-0.6697851096368452,-0.5359223157686431,17.71100609813391,52.25659283917724,-21.509785593866553,0.64733011,-0.55254805,-0.51055193,0.12243817
Edgar,1,Antebrazo,0.8,0,1.213744867653196,-0.5288476853480453,-0.3678059089813166,16.478049887091363,46.43076428223526,-25.063680346584917,0.64877021,-0.54929477,-0.5114457,0.12568121
Edgar,1,Antebrazo,0.81,0,1.2305453422766552,-0.4765905525752716,-0.2630882236022808,23.980331570708277,23.86757817223604,-29.645051183000312,0.64951891,-0.54727393,-0.51167184,0.12964725
Edgar,1,Antebrazo,0.82,0,1.1967596467089163,-0.5305291499786832,-0.24073286013468856,36.12920834337152,-4.126343803660081,-31.96066472915282,0.66425008,-0.51164985,-0.52449429,0.14795963
Edgar,1,Antebrazo,0.83,0,1.1545616444515148,-0.6312323316922471,-0.29024260208290587,47.316964270433736,-27.428627575833158,-31.549352710570503,0.66317326,-0.51432747,-0.52197522,0.15234946
Edgar,1,Antebrazo,0.84,0,1.1219543465880917,-0.6984679763108644,-0.3789669293111147,53.800561599071386,-40.76508749774948,-30.146735050212257,0.6617555,-0.51778531,-0.5190202,0.15683183
Edgar,1,Antebrazo,0.85,0,1.0853908886932087,-0.694802799330263,-0.46956477022202625,55.13395001144324,-44.27819262148475,-29.209245575926452,0.66040862,-0.52085644,-0.51626533,0.16136692
Edgar,1,Antebrazo,0.86,0,1.014752330960216,-0.6478436365959497,-0.5360293863941041,53.09864848365483,-41.12665613469378,-28.24092975254426,0.65939796,-0.5234158,-0.51355058,0.16581911
Edgar,1,Antebrazo,0.87,0,0.8974819340787704,-0.6190031649483517,-0.5699566520060629,49.45288817539766,-34.178401518615296,-25.31836865220745,0.67337984,-0.51756215,-0.49871123,0.17313625
Edgar,1,Antebrazo,0.88,0,0.7658504527921837,-0.6470542687787278,-0.5764660131273612,44.48187156933368,-24.423943068856033,-19.06094968480914,0.67215323,-0.51981431,-0.49671814,0.1768454
Edgar,1,Antebrazo,0.89,0,0.6886807473042155,-0.7119257378344919,-0.5655216730837079,37.44240202585691,-12.126826533477857,-10.15715315473219,0.67060274,-0.52165949,-0.49580258,0.17984234
Edgar,1,Antebrazo,0.9,0,0.7261205463400622,-0.7480144211485672,-0.5455258628480538,28.30154248484814,0.788230118552221,-1.1407418225785992,0.6690473,-0.52277058,-0.49596962,0.18193614
Edgar,1,Antebrazo,0.91,0,0.880155060286945,-0.6976510110003279,-0.5219890820602866,19.01698663280674,9.764577034430362,5.337569176987738,0.66786534,-0.5226776,-0.49724865,0.18305174
