student_id,sample_number,is_exito,sensor_name,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
Edgar,1,0,Antebrazo,0.81,1.31648219,-0.41084948,-0.22136471,25.73096085,26.25458717,-36.47861481,0.64951891,-0.54727393,-0.51167184,0.12964725
Edgar,1,0,Antebrazo,0.82,1.26375151,-0.58114779,-0.25675869,40.03063583,-3.69005728,-31.78357124,0.66425008,-0.51164985,-0.52449429,0.14795963
Edgar,1,0,Antebrazo,0.83,1.09456587,-0.7063148,-0.3065474,50.19252396,-34.24875259,-27.66389656,0.66317326,-0.51432747,-0.52197522,0.15234946
Edgar,1,0,Antebrazo,0.84,1.03828037,-0.74562609,-0.37304991,54.60305786,-44.20928955,-26.13474083,0.6617555,-0.51778531,-0.5190202,0.15683183
Edgar,1,0,Antebrazo,0.85,1.07106233,-0.72486234,-0.48822534,53.84744263,-39.28281403,-27.0417347,0.66040862,-0.52085644,-0.51626533,0.16136692
Edgar,1,0,Antebrazo,0.86,1.07616901,-0.63525879,-0.5454523,49.60263062,-34.55983353,-30.17003059,0.65939796,-0.5234158,-0.51355058,0.16581911
Edgar,1,0,Antebrazo,0.87,0.98913217,-0.54680455,-0.55155367,46.73804474,-32.74541855,-29.14391327,0.67337984,-0.51756215,-0.49871123,0.17313625
Edgar,1,0,Antebrazo,0.88,0.79505146,-0.56250572,-0.55790675,45.00052643,-26.94610214,-20.99166489,0.67215323,-0.51981431,-0.49671814,0.1768454
Edgar,1,0,Antebrazo,0.89,0.61377501,-0.71173203,-0.57891309,40.96477509,-17.03969002,-9.15447521,0.67060274,-0.52165949,-0.49580258,0.17984234
Edgar,1,0,Antebrazo,0.9,0.63517696,-0.82483041,-0.55072874,32.21554565,-4.55153131,0.80628097,0.6690473,-0.52277058,-0.49596962,0.18193614
Edgar,1,0,Antebrazo,0.91,0.85249972,-0.78265643,-0.51853621,18.99588013,12.1412611,7.38389301,0.66786534,-0.5226776,-0.49724865,0.18305174
Edgar,1,0,Antebrazo,0.92,1.12629831,-0.58578444,-0.50175107,9.26431656,15.73124123,8.89027214,0.68547815,-0.50035423,-0.4933435,0.19072935
Edgar,1,0,Antebrazo,0.93,1.3019259,-0.37467626,-0.485879,9.43541145,1.44847083,8.28476715,0.6846835,-0.50075394,-0.49393332,0.19100748
Edgar,1,0,Antebrazo,0.94,1.28163326,-0.25500759,-0.47451264,17.15666962,-25.16101074,8.77905464,0.68346947,-0.50307769,-0.493121,0.1913482
Edgar,1,0,Antebrazo,0.95,1.10790861,-0.31695697,-0.46994236,28.14831352,-53.63441849,13.39354801,0.68148732,-0.50764245,-0.49102741,0.19174531
Edgar,1,0,Antebrazo,0.96,0.85746127,-0.57698035,-0.50129771,34.88910675,-70.61610413,23.17326355,0.67870319,-0.51373971,-0.48849836,0.19184123
Edgar,1,0,Antebrazo,0.97,0.69681054,-0.81238902,-0.53580278,33.55530548,-79.83296967,34.53777313,0.66334629,-0.53775465,-0.48582649,0.18645178
