student_id,sample_number,frame_number,timestamp_ms,joint_id,x_px,y_px,z_m
DianaItzel,1,54,2105,13,576,246,9.665000915527344
DianaItzel,1,54,2105,14,544,245,9.57200050354004
DianaItzel,1,54,2105,15,578,261,10.420000076293944
DianaItzel,1,54,2105,16,544,262,9.348999977111816
DianaItzel,1,54,2105,23,567,262,9.95300006866455
DianaItzel,1,54,2105,24,554,261,9.393000602722168
DianaItzel,1,54,2105,25,568,287,9.904000282287598
DianaItzel,1,54,2105,26,555,286,9.759000778198242
DianaItzel,1,54,2105,27,569,310,10.155000686645508
DianaItzel,1,54,2105,28,554,302,10.474000930786133
DianaItzel,1,54,2105,29,568,313,10.155000686645508
DianaItzel,1,54,2105,30,555,304,10.530000686645508
DianaItzel,1,54,2105,31,570,317,10.104000091552734
DianaItzel,1,54,2105,32,551,312,10.585000038146973
DianaItzel,1,55,2144,0,560,213,9.053000450134276
DianaItzel,1,55,2144,11,573,228,10.260000228881836
DianaItzel,1,55,2144,12,550,228,10.003000259399414
DianaItzel,1,55,2144,13,577,246,9.482000350952148
DianaItzel,1,55,2144,14,545,245,9.527000427246094
DianaItzel,1,55,2144,15,578,261,9.482000350952148
DianaItzel,1,55,2144,16,544,261,9.26200008392334
DianaItzel,1,55,2144,23,568,262,9.618000030517578
DianaItzel,1,55,2144,24,555,261,9.219000816345217
DianaItzel,1,55,2144,25,568,287,9.807000160217283
DianaItzel,1,55,2144,26,555,286,9.482000350952148
DianaItzel,1,55,2144,27,569,310,10.155000686645508
DianaItzel,1,55,2144,28,555,302,10.207000732421877
DianaItzel,1,55,2144,29,568,313,10.155000686645508
DianaItzel,1,55,2144,30,556,302,10.104000091552734
DianaItzel,1,55,2144,31,570,317,10.155000686645508
DianaItzel,1,55,2144,32,552,311,10.642000198364258
DianaItzel,1,56,2171,0,560,212,9.26200008392334
DianaItzel,1,56,2171,11,573,227,9.904000282287598
DianaItzel,1,56,2171,12,550,228,8.371000289916992
DianaItzel,1,56,2171,13,578,245,9.665000915527344
DianaItzel,1,56,2171,14,545,244,9.30500030517578
DianaItzel,1,56,2171,15,579,261,9.712000846862791
DianaItzel,1,56,2171,16,544,261,9.177000045776367
DianaItzel,1,56,2171,23,568,261,9.57200050354004
DianaItzel,1,56,2171,24,555,261,9.01200008392334
DianaItzel,1,56,2171,25,569,287,9.57200050354004
DianaItzel,1,56,2171,26,556,286,9.527000427246094
DianaItzel,1,56,2171,27,569,310,10.053000450134276
DianaItzel,1,56,2171,28,556,302,10.104000091552734
DianaItzel,1,56,2171,29,568,313,10.104000091552734
DianaItzel,1,56,2171,30,557,302,9.807000160217283
DianaItzel,1,56,2171,31,570,318,10.207000732421877
DianaItzel,1,56,2171,32,553,311,10.756000518798828
DianaItzel,1,57,2206,0,561,211,9.053000450134276
DianaItzel,1,57,2206,11,574,227,9.855000495910645
DianaItzel,1,57,2206,12,551,227,9.57200050354004
DianaItzel,1,57,2206,13,579,245,9.665000915527344
DianaItzel,1,57,2206,14,545,243,9.393000602722168
DianaItzel,1,57,2206,15,580,261,9.759000778198242
DianaItzel,1,57,2206,16,544,259,9.053000450134276
DianaItzel,1,57,2206,23,569,261,9.618000030517578
DianaItzel,1,57,2206,24,555,261,8.931000709533691
DianaItzel,1,57,2206,25,569,287,9.712000846862791
